id;city;location;date;organizer;description;participants_expected
1;Майкоп;Парк Дружбы;2025-08-15;Зеленый щит;Уборка парковой зоны и посадка деревьев;37
2;Уфа;Набережная реки Белой;2025-08-16;ЭкоПатруль;Очистка набережной от мусора;54
3;Улан-Удэ;Парк Победы;2025-08-17;Чистый край;Благоустройство парка;71
4;Горно-Алтайск;Центральный парк;2025-08-18;Природа и мы;Уборка территории центрального парка;88
5;Махачкала;Ленинский парк;2025-08-19;Зеленая Россия;Субботник в городском парке;105
6;Магас;Сквер Славы;2025-08-20;Чистый город;Уборка сквера и прилегающих территорий;122
7;Нальчик;Долинск;2025-08-21;ЭкоДом;Очистка лесопарковой зоны;139
8;Элиста;Золотая роща;2025-08-22;ЭкоМир;Уборка рощи и посадка саженцев;156
9;Черкесск;Парк Зеленый остров;2025-08-23;Зеленый регион;Благоустройство парковой территории;173
10;Петрозаводск;Набережная Онежского озера;2025-08-24;Эко-друзья;Очистка береговой линии;190
11;Сыктывкар;Парк культуры и отдыха;2025-08-25;Зеленый щит;Уборка парка и установка урн;26
12;Симферополь;Парк Салгирка;2025-08-26;ЭкоПатруль;Благоустройство парковой зоны;43
13;Йошкар-Ола;Центральный бульвар;2025-08-27;Чистый край;Уборка центральных аллей;60
14;Саранск;Парк Пушкина;2025-08-28;Природа и мы;Субботник в парке;77
15;Якутск;Парк культуры;2025-08-29;Зеленая Россия;Уборка территории после зимы;94
16;Владикавказ;Комсомольский парк;2025-08-30;Чистый город;Очистка парка и посадка цветов;111
17;Казань;Парк Горького;2025-08-31;ЭкоДом;Уборка парка и установка лавочек;128
18;Кызыл;Набережная Енисея;2025-09-01;ЭкоМир;Очистка береговой линии;145
19;Ижевск;Летний сад;2025-09-02;Зеленый регион;Уборка исторического парка;162
20;Абакан;Преображенский парк;2025-09-03;Эко-друзья;Благоустройство городского парка;179
21;Грозный;Парк Материнской славы;2025-09-04;Зеленый щит;Уборка парковой территории;15
22;Чебоксары;Этнокультурный парк;2025-09-05;ЭкоПатруль;Очистка парка и набережной;32
23;Барнаул;Нагорный парк;2025-09-06;Чистый край;Уборка лесопарковой зоны;49
24;Чита;Парк ОДОРА;2025-09-07;Природа и мы;Благоустройство парка;66
25;Петропавловск-Камчатский;Парк Победы;2025-09-08;Зеленая Россия;Уборка мемориального комплекса;83
26;Краснодар;Парк Солнечный остров;2025-09-09;Чистый город;Очистка парка и береговой линии;100
27;Красноярск;Набережная Енисея;2025-09-10;ЭкоДом;Уборка набережной;117
28;Пермь;Разгуляй;2025-09-11;ЭкоМир;Благоустройство исторического парка;134
29;Владивосток;Набережная Спортивная гавань;2025-09-12;Зеленый регион;Очистка береговой линии;151
30;Ставрополь;Парк Победы;2025-09-13;Эко-друзья;Уборка парковой территории;168
31;Хабаровск;Парк Динамо;2025-09-14;Зеленый щит;Благоустройство центрального парка;185
32;Благовещенск;Набережная Амура;2025-09-15;ЭкоПатруль;Очистка береговой линии;21
33;Архангельск;Набережная Северной Двины;2025-09-16;Чистый край;Уборка набережной;38
34;Астрахань;Парк Аркадия;2025-09-17;Природа и мы;Благоустройство парка;55
35;Белгород;Парк Победы;2025-09-18;Зеленая Россия;Уборка мемориального парка;72
36;Брянск;Парк-музей Толстого;2025-09-19;Чистый город;Очистка парковой территории;89
37;Владимир;Парк Липки;2025-09-20;ЭкоДом;Благоустройство исторического парка;106
38;Волгоград;Набережная Волги;2025-09-21;ЭкоМир;Очистка береговой линии;123
39;Вологда;Парк Ветеранов;2025-09-22;Зеленый регион;Уборка парка;140
40;Воронеж;Петровский сквер;2025-09-23;Эко-друзья;Благоустройство сквера;157
41;Иваново;Парк Харинка;2025-09-24;Зеленый щит;Уборка лесопарковой зоны;174
42;Иркутск;Набережная Ангары;2025-09-25;ЭкоПатруль;Очистка береговой линии;191
43;Калининград;Парк Южный;2025-09-26;Чистый край;Благоустройство парка;27
44;Калуга;Парк культуры и отдыха;2025-09-27;Природа и мы;Уборка центрального парка;44
45;Кемерово;Парк Антошка;2025-09-28;Зеленая Россия;Очистка детского парка;61
46;Киров;Набережная Грина;2025-09-29;Чистый город;Уборка набережной;78
47;Кострома;Парк Берендеевка;2025-09-30;ЭкоДом;Благоустройство тематического парка;95
48;Курган;Центральный парк;2025-10-01;ЭкоМир;Уборка парковой территории;112
49;Курск;Парк Боева дача;2025-10-02;Зеленый регион;Очистка лесопарка;129
50;Санкт-Петербург;Парк 300-летия;2025-10-03;Эко-друзья;Уборка прибрежной зоны;146
51;Липецк;Парк Победы;2025-10-04;Зеленый щит;Благоустройство мемориального парка;163
52;Магадан;Городской парк;2025-10-05;ЭкоПатруль;Уборка парка после зимы;180
53;Красногорск;Парк Изумрудные холмы;2025-10-06;Чистый край;Очистка парковой зоны;16
54;Мурманск;Семеновское озеро;2025-10-07;Природа и мы;Уборка приозерной территории;33
55;Нижний Новгород;Парк Швейцария;2025-10-08;Зеленая Россия;Благоустройство парка;50
56;Великий Новгород;Кремлевский парк;2025-10-09;Чистый город;Уборка исторического парка;67
57;Новосибирск;Набережная Оби;2025-10-10;ЭкоДом;Очистка береговой линии;84
58;Омск;Парк Победы;2025-10-11;ЭкоМир;Уборка мемориального комплекса;101
59;Оренбург;Зауральная роща;2025-10-12;Зеленый регион;Очистка природного парка;118
60;Орёл;Детский парк;2025-10-13;Эко-друзья;Благоустройство детской зоны;135
61;Пенза;Парк Белинского;2025-10-14;Зеленый щит;Уборка центрального парка;152
62;Псков;Дендропарк;2025-10-15;ЭкоПатруль;Очистка дендрологического парка;169
63;Ростов-на-Дону;Парк Горького;2025-10-16;Чистый край;Благоустройство парка;186
64;Рязань;ЦПКиО;2025-10-17;Природа и мы;Уборка парка культуры;22
65;Самара;Набережная Волги;2025-10-18;Зеленая Россия;Очистка береговой линии;39
66;Саратов;Парк Липки;2025-10-19;Чистый город;Уборка исторического парка;56
67;Южно-Сахалинск;Парк Гагарина;2025-10-20;ЭкоДом;Благоустройство парка;73
68;Екатеринбург;Парк Маяковского;2025-10-21;ЭкоМир;Уборка центрального парка;90
69;Смоленск;Лопатинский сад;2025-10-22;Зеленый регион;Очистка исторического сада;107
70;Тамбов;Парк Победы;2025-10-23;Эко-друзья;Уборка мемориального парка;124
71;Тверь;Городской сад;2025-10-24;Зеленый щит;Благоустройство сада;141
72;Томск;Лагерный сад;2025-10-25;ЭкоПатруль;Очистка парковой зоны;158
73;Тула;Центральный парк;2025-10-26;Чистый край;Уборка парка;175
74;Тюмень;Набережная Туры;2025-10-27;Природа и мы;Очистка набережной;192
75;Ульяновск;Парк Дружбы народов;2025-10-28;Зеленая Россия;Благоустройство парка;28
76;Челябинск;Парк Гагарина;2025-10-29;Чистый город;Уборка парковой территории;45
77;Ярославль;Стрелка;2025-10-30;ЭкоДом;Очистка исторической набережной;62
78;Москва;Парк Сокольники;2025-10-31;ЭкоМир;Экосубботник в парке;79
79;Гатчина;Парк Сильвия;2025-11-01;ЛенОблЭко;Уборка исторического парка;96
80;Севастополь;Парк Победы;2025-11-02;Эко-друзья;Благоустройство прибрежного парка;113
81;Биробиджан;Набережная Биры;2025-11-03;Зеленый щит;Очистка береговой линии;130
82;Нарьян-Мар;Парк Тундра;2025-11-04;ЭкоПатруль;Уборка природного парка;147
83;Ханты-Мансийск;Парк Бориса Лосева;2025-11-05;Чистый край;Благоустройство парка;164
84;Анадырь;Сквер Газовиков;2025-11-06;Природа и мы;Уборка сквера;181
85;Салехард;Набережная Оби;2025-11-07;Зеленая Россия;Очистка береговой линии;17
86;Великие Луки;Парк культуры и отдыха;2025-11-08;ПсковЭкоСервис;Уборка центрального парка города;112
87;Дербент;Парк Кирова;2025-11-09;ДагестанЭко;Благоустройство исторического парка;129
88;Назрань;Парк имени Серго Орджоникидзе;2025-11-10;ИнгушЭко;Очистка парковой зоны;146
89;Кудымкар;Этнографический парк;2025-11-11;ПермьЭко;Уборка с элементами этнокультурной программы;163
