id;название;регион;площадь_кв_км;год_основания;описание;вебсайт
1;Алтайский заповедник;Республика Алтай;8712;1932;Часть Золотых гор Алтая (ЮНЕСКО), включает озеро Телецкое и горные районы;http://www.altzapovednik.ru/
2;Байкальский заповедник;Республика Бурятия;1656.7;1969;Охраняет природу вдоль озера Байкал и хребта Хамар-Дабан;https://baikalzapovednik.ru/
3;Воронежский заповедник;Воронежская область;310.5;1927;Первый в мире экспериментальный бобровый питомник;http://zapovednik-vrn.ru/
5;Тигирекский заповедник;Алтайский край;406.9;1999;Охраняет темную тайгу и горную степь, включает карстовые образования;http://tigirek.ru/
6;Джугджурский заповедник;Хабаровский край;8599.6;1990;Крупнейший в регионе, охраняет места нереста лосося;
9;Костомукшский заповедник;Республика Карелия;475.7;1983;Леса, озера, олени и семга;http://kost-zap.ru/
10;Врангеля заповедник (в составе Большого Арктического);Чукотский автономный округ;;;Крупнейшая особо охраняемая территория России;
11;Кавказский заповедник;Краснодарский край; ;1924;Охраняет биосферу Западного Кавказа, объект ЮНЕСКО;http://kavkazzapoved.ru/
12;Васюганский заповедник;Томская область;;;Крупнейшее болото, редкие виды флоры и фауны;
13;Дальневосточный морской заповедник;Приморский край;;1978;Первый морской заповедник России, охрана морской фауны;
14;Центрально-Черноземный заповедник;Курская область;;1935;Охрана чернозема и нетронутой степи;
16;Шульган-Таш;Республика Башкортостан;22.5;2014;Пещера Капова, дикая пчеловодческая традиция;http://shulgan-tash.ru/
18;Сохондинский заповедник;Забайкальский край;2109.9;1973;Горный массив Сохондо, редкие растения и животные;
20;Ростовский заповедник;Ростовская область;94.7;1995;Охрана степей и водно-болотных угодий у озера Маныч-Гудило;
21;Богдинско-Баскунчакский заповедник;Астраханская область;185.3;1997;Соленое озеро Баскунчак, гора Большое Богдо, эндемики;http://bogdinsko-baskunchaksky.ru/
22;Окский заповедник;Рязанская область;55.2;1935;Центр восстановления зубров и журавлей;http://www.zapovednik-okskiy.ru/
24;Печоро-Илычский заповедник;Республика Коми;7213.7;1930;Северные леса, каменные столбы Мань-Пупу-нер;https://pizrk.ru/
25;Ильменский заповедник;Челябинская область;303.8;1920;Минералы, Южный Урал, геология и биосфера;https://www.ilmeny.ru/
26;Хакасский заповедник;Республика Хакасия;2671.6;1999;Охрана степных и горных экосистем Западного Саяна;http://hakzapovednik.ru/
28;Большой Арктический заповедник;Красноярский край;41692;1993;Крупнейший в России, Арктика, миграции птиц и млекопитающих;
29;Усть-Ленский заповедник;Республика Саха (Якутия);14330;1985;Дельта Лены, тундра, миграции перелётных птиц;https://ulzapovednik.ru/
33;Преамурский заповедник;Амурская область;131.8;2008;Болота, луга, среда обитания журавлей и уток;
34;Смоленское Поозерье;Смоленская область;146.2;1992;Озера, смешанные леса, экотуризм;
35;Югыд ва;Республика Коми;18917;1994;Один из крупнейших лесных массивов Европы, часть ЮНЕСКО;http://yugydva.komi.com/
36;Чаваньга (в составе Кандалакшского заповедника);Мурманская область;;;Морская береговая зона, арктическая фауна;
37;Дарвинский заповедник;Вологодская область;112.9;1945;Рыбинское водохранилище, экосистемы северных лесов;
38;Кандалакшский заповедник;Мурманская область;705.3;1932;Берег Баренцева моря, морские птицы и млекопитающие;
40;Полоцкий заповедник;Тверская область;69.9;1988;Болота, хвойные леса, охрана водно-болотных экосистем;
41;Таймырский заповедник;Красноярский край;15100;1979;Тундра, миграции диких северных оленей;https://www.taimyrzapovednik.ru/
42;Магаданский заповедник;Магаданская область;883.2;1982;Лесотундра, охрана нерестовых рек и лососей;http://www.magzapoved.ru/
43;Буреинский заповедник;Хабаровский край;358.2;1987;Горные экосистемы, бурые медведи, краснокнижные виды;https://burezap.ru/
44;Кыталык;Республика Саха (Якутия);5560;1996;Охрана болот и водно-болотных угодий, журавли;
46;Даурский заповедник;Забайкальский край;453.6;1987;Степи, редкие журавли, объект ЮНЕСКО;http://www.daurzapoved.com/
47;Байкало-Ленский заповедник;Иркутская область;6600;1986;Западный берег Байкала, лиственничные леса, редкие птицы;https://baikal-1.ru/
49;Южно-Уральский заповедник;Челябинская область;252.8;1978;Горные экосистемы, лиственные и хвойные леса;http://yuzhuralzap.ru/
50;Калужские засеки;Калужская область;187.7;1992;Смешанные леса, генетический резерват зубров;https://www.zapovednik.info/
51;Кивач;Республика Карелия;108.9;1931;Водопад Кивач, карельская флора и фауна;http://kivach.org/
53;Витимский заповедник;Иркутская область;5859;1982;Горные леса и тундра, речные долины, редкие птицы;
54;Камышинская степь;Волгоградская область;10.5;1988;Типичная ковыльная степь, охрана степной флоры;
55;Убсунурская котловина;Республика Тыва;10218.3;1993;Степи, пески, горы — трансграничный биосферный резерват;
56;Среднесибирский заповедник;Красноярский край;10219;1985;Центральная Сибирь, тайга, охрана енисейских лесов;
57;Шантары;Хабаровский край;515.5;2013;Острова, киты, морские птицы, экотуризм;https://shantar.ru/
58;Хинганский заповедник;Амурская область;882;1963;Земноводно-болотные угодья, журавли;http://hinganzap.ru/
59;Саяно-Шушенский заповедник;Красноярский край;3900;1976;Южная Сибирь, высокогорья, снежный барс;http://sayanzapoved.ru/
60;Центральносибирский заповедник;Красноярский край;10219;1985;Тайга, долина Подкаменной Тунгуски, охрана кедровников;
62;Тунгусский заповедник;Красноярский край;2967.5;1995;Место падения Тунгусского метеорита, охрана тайги;http://www.tungusky.ru/
63;Малый Саянский;Республика Хакасия;327.5;1993;Горные леса, редкие виды флоры и фауны;
