Название;Долгота;Широта;Среднее значение
Обнинск;36.6;55.1;0.6
О-в Котельный;137.9;73.4;0.2
Мыс Кипиас;139.9;71.6;1.0
Бухта Тикси;128.9;71.6;1.1
Печенга;31.4;69.7;1.5
Мурманск ГМО;33.0;68.9;1.3
Мончегорск;32.9;67.9;2.3
Защеек;32.2;67.7;1.9
Кандалакша;32.4;67.2;1.9
Северодвинск;39.0;64.6;2.7
Архангельск;40.5;64.6;3.1
Онега;38.1;63.9;1.0
Вельск;42.1;61.1;0.1
Котлас;46.7;61.3;2.1
Нарьян-Мар;53.0;67.6;2.3
Туруханск;87.3;65.8;1.3
Сыктывкар;50.8;61.7;0.9
Сытомио;71.2;62.1;1.2
Бор ЗГМО;90.0;60.5;0.6
Ханты-Мансийск;69.0;61.0;1.1
Александровское;77.9;60.4;0.8
Депутатский;139.7;69.3;1.5
Нера;143.1;68.5;3.8
Сангар;127.5;63.9;1.2
Мирный;113.9;62.5;1.5
Теплый Ключ;136.6;61.9;0.7
Сусуман;148.2;62.8;0.6
Эрбогачен;108.0;61.3;9.3
Усть-Омчуг;149.6;62.1;0.7
Ленск;114.9;60.7;1.1
Олекминск;120.4;60.4;1.0
Якутск;129.7;62.0;1.6
Певек;170.3;69.7;0.3
Черский;161.3;68.1;1.1
Зырянка;150.9;65.7;0.9
Сеймчан;152.4;62.9;0.6
Омсукчан;155.8;62.5;0.6
Магадан;150.8;59.1;0.5
"Санкт-Петербург ИЦП";30.3;60.0;0.4
Калининград;20.6;54.7;1.1
Смоленск;32.1;55.4;1.0
Ельня;33.2;54.5;0.4
Спас-Деменск;34.0;54.4;0.8
Жуковка;33.8;53.5;0.8
Клинцы;32.2;53.3;2.0
Брянск;34.3;53.3;0.9
Красная Гора;31.6;53.9;0.8
Вологда;39.9;59.3;2.4
Киров;49.6;58.6;1.8
Жакситай;46.1;58.0;2.8
Ярославль;39.8;57.6;1.2
Кострома;40.9;57.7;1.5
Иваново;41.0;57.0;1.4
Пахны;40.6;57.3;1.3
Тверь;35.9;56.9;1.1
Нижний Новгород;44.0;56.3;1.4
Семенов;44.5;55.9;1.4
Йошкар-Ола;47.9;55.5;1.6
Ново-Иерусалим;36.8;55.9;0.6
Подмосковная;37.2;55.7;1.4
Владимир;40.4;56.1;0.5
Пысково;45.0;56.3;1.5
Казань;49.1;55.8;2.2
"Москва;Балчуг";37.6;55.8;0.6
Малоярославец;36.5;55.0;1.0
"Москва;ВДНХ";37.6;55.8;0.6
Тушино;37.4;55.9;0.6
Выкса;42.1;55.3;1.4
Арзамас;43.8;55.4;1.1
Лукоянов;44.5;55.0;1.3
Калуга;36.4;54.5;0.7
Тула АМГС;37.6;54.6;0.7
Сасово;42.0;54.6;0.4
Саранск;45.2;54.1;1.3
Ульяновск;48.3;54.3;0.3
Димитровград;49.6;54.2;0.6
Узловая;38.1;54.1;1.0
Тольяттинская;49.5;53.0;3.3
Орел;36.0;53.0;1.1
Липецк;39.5;52.6;1.4
Пенза;45.0;53.2;1.4
Глазов;52.6;58.1;1.4
Нижний Тагил;60.0;57.9;1.2
Невьянск;60.3;57.5;0.9
Липовское;61.2;57.5;1.4
Артемовский;61.0;57.3;1.3
Тюмень;65.4;57.1;1.1
Ивдель;60.6;60.7;1.1
Янаул;54.5;55.3;1.0
Ревда;59.1;56.8;1.0
Екатеринбург;60.6;56.8;1.0
Исток;60.9;56.7;1.1
Боданович;62.1;56.8;0.9
Верхнее Дуброво;61.1;56.7;0.8
Сысерть;60.8;56.4;1.3
Каменск-Уральский;61.9;56.4;1.7
Камышлов;62.7;56.9;1.0
Тара;72.4;56.9;1.1
Нижегорьевск;59.6;56.1;0.8
Верхний Уфалей;60.9;55.2;0.8
Аргаяш;60.9;55.4;0.8
Бродокалмак;62.1;55.6;0.6
Ишим;68.4;56.1;1.2
Златоуст;59.3;55.1;0.8
Челябинск;61.3;55.1;0.9
Миасс;60.3;55.0;0.9
Курган;65.4;55.5;1.2
Омск;73.4;55.1;1.3
Фа-Фема;54.4;57.2;1.3
Гориц;61.6;58.7;0.9
Самара ОМС;50.4;53.2;2.4
